term,doc_freq,total,source_fields,gene_ids
red,372,1233,EXACT locus_synonym,r1 (tpzm:0020929)
expression,283,814,EXACT locus_synonym,LOC103649053 (tpzm:0004623)
binding,282,1690,EXACT locus_synonym,cl14466_1 (tpzm:0010898)
promoter,235,1840,EXACT locus_synonym,ubi1 (tpzm:0023372)
transcription factor,204,680,EXACT locus_synonym,IDP3908 (tpzm:0001640)
ca,202,934,RELATED locus_synonym,GRMZM2G087259 (tpzm:0000725); cah7 (tpzm:0010121)
mrna,180,837,EXACT locus_synonym,LOC100283589 (tpzm:0003506)
late,142,380,EXACT locus_synonym,Zm00001eb059970 (tpzm:0007478)
aba,104,1724,EXACT locus_synonym,flz32 (tpzm:0013684)
myb,76,642,RELATED locus_synonym,chb101a (tpzm:0010547); myb179 (tpzm:0016932); nactf36 (tpzm:0017268)
protein kinase,74,1582,EXACT locus_synonym; RELATED locus_synonym,AC226248.1_FG002 (tpzm:0000079); LOC100192801 (tpzm:0002854); LOC110013313 (tpzm:0004928); TIDP9198 (tpzm:0005248); Zm00001d012625 (tpzm:0005704); Zm00001d044639 (tpzm:0006905); Zm00001d053695 (tpzm:0007269); acr9 (tpzm:0008734); cl13065_1b (tpzm:0010871); mkkk72 (tpzm:0016534)
peroxidase,73,205,EXACT locus_synonym,Zm00001eb111320 (tpzm:0007614)
bhlh,68,891,RELATED locus_synonym,IDP1489 (tpzm:0001397); Zm00001d037336 (tpzm:0006620); cpp9 (tpzm:0012218)
phosphatase,66,177,EXACT locus_synonym,vtc4 (tpzm:0024416)
cds,60,478,RELATED locus_synonym,GRMZM5G825110 (tpzm:0001313); cl9125_1 (tpzm:0011998)
gs,60,388,EXACT locus_synonym,gln2 (tpzm:0014004); gshs2 (tpzm:0014514)
pr,55,427,EXACT locus_synonym,prp16 (tpzm:0020454)
p1,53,1555,EXACT jschnable_name; EXACT locus; NAME (gene symbol); RELATED locus_synonym,LOC100282819 (tpzm:0003458); Zm00001eb014370 (tpzm:0007354); arpp1a (tpzm:0009250); p1 (tpzm:0017953)
transferase,53,648,RELATED locus_synonym,Zm00001d002139 (tpzm:0005301); Zm00001d026268 (tpzm:0006210); aat1 (tpzm:0008576); bnlg1863 (tpzm:0009726); gll1 (tpzm:0014002); pco144592b (tpzm:0019238)
sam,52,655,EXACT locus_synonym,sams4 (tpzm:0021633)
dna binding,51,300,RELATED locus_synonym,cl48699_1b (tpzm:0011661); ddt4 (tpzm:0012651); si945034e12b (tpzm:0022458)
rs,51,126,EXACT locus_synonym,r1 (tpzm:0020929)
as,47,119,EXACT locus_synonym,asn1 (tpzm:0009290)
bzip,47,100,EXACT locus_synonym,Zm00001d034455 (tpzm:0006525)
cv,46,73,EXACT locus_synonym,bt1 (tpzm:0009788)
eh,44,205,EXACT locus_synonym,IDP7290 (tpzm:0002175)
ct,44,76,EXACT locus_synonym,clt1 (tpzm:0012102)
cs,42,259,EXACT locus_synonym,si486062b02 (tpzm:0021963)
ea,42,111,EXACT locus_synonym,GRMZM2G148904 (tpzm:0000950)
zinc finger,42,75,EXACT locus_synonym,pco137522 (tpzm:0019131); ring166 (tpzm:0021153)
nac,41,108,EXACT locus_synonym,wrky35 (tpzm:0024594)
co,39,537,EXACT locus_synonym,col11 (tpzm:0012158)
