term,doc_freq,total,surface_forms,source_fields,gene_ids,filtered,filter_reason
red,372,1233,red,EXACT locus_synonym,r1 (tpzm:0020929),True,all constituent words are common English/molecular-biology terms
expression,283,814,Expression,EXACT locus_synonym,LOC103649053 (tpzm:0004623),True,all constituent words are common English/molecular-biology terms
binding,282,1690,binding,EXACT locus_synonym,cl14466_1 (tpzm:0010898),True,all constituent words are common English/molecular-biology terms
promoter,235,1840,promoter,EXACT locus_synonym,ubi1 (tpzm:0023372),True,all constituent words are common English/molecular-biology terms
transcription factor,204,680,transcription factor,EXACT locus_synonym,IDP3908 (tpzm:0001640),True,all constituent words are common English/molecular-biology terms
mrna,180,837,mRNA,EXACT locus_synonym,LOC100283589 (tpzm:0003506),True,all constituent words are common English/molecular-biology terms
late,142,380,late,EXACT locus_synonym,Zm00001eb059970 (tpzm:0007478),True,all constituent words are common English/molecular-biology terms
protein kinase,74,1582,Protein kinase; protein kinase,EXACT locus_synonym; RELATED locus_synonym,AC226248.1_FG002 (tpzm:0000079); LOC100192801 (tpzm:0002854); LOC110013313 (tpzm:0004928); TIDP9198 (tpzm:0005248); Zm00001d012625 (tpzm:0005704); Zm00001d044639 (tpzm:0006905); Zm00001d053695 (tpzm:0007269); acr9 (tpzm:0008734); cl13065_1b (tpzm:0010871); mkkk72 (tpzm:0016534),True,all constituent words are common English/molecular-biology terms
peroxidase,73,205,peroxidase,EXACT locus_synonym,Zm00001eb111320 (tpzm:0007614),True,all constituent words are common English/molecular-biology terms
phosphatase,66,177,phosphatase,EXACT locus_synonym,vtc4 (tpzm:0024416),True,all constituent words are common English/molecular-biology terms
cds,60,478,CDS,RELATED locus_synonym,GRMZM5G825110 (tpzm:0001313); cl9125_1 (tpzm:0011998),True,all constituent words are common English/molecular-biology terms
transferase,53,648,transferase,RELATED locus_synonym,Zm00001d002139 (tpzm:0005301); Zm00001d026268 (tpzm:0006210); aat1 (tpzm:0008576); bnlg1863 (tpzm:0009726); gll1 (tpzm:0014002); pco144592b (tpzm:0019238),True,all constituent words are common English/molecular-biology terms
dna binding,51,300,DNA binding,RELATED locus_synonym,cl48699_1b (tpzm:0011661); ddt4 (tpzm:0012651); si945034e12b (tpzm:0022458),True,all constituent words are common English/molecular-biology terms
as,47,119,AS,EXACT locus_synonym,asn1 (tpzm:0009290),True,all constituent words are common English/molecular-biology terms
zinc finger,42,75,Zinc finger; zinc finger,EXACT locus_synonym,pco137522 (tpzm:0019131); ring166 (tpzm:0021153),True,all constituent words are common English/molecular-biology terms
