doi,pubmed_id,title,abstract,authors,journal,year,comments
10.1007_s001220050943,546,"Microsatellite (SSR) markers reveal genetic identities, genetic diversity and relationships in a Malus x domestica borkh. core subset collection","A collection of 66 Malus]domestica Borkh. accessions from the USDA-ARS Plant Genetic Resources Unit’s core collection was screened with a set of eight SSR (simple sequence repeat) primers developed at the PGRU in order to determine genetic identities, estimate genetic diversity, and to identify genetic relationships among these accessions. All eight primer pairs generated multiple fragments when used in ampli- fication reactions with DNA from these accessions. High levels of variation were detected with a mean of 12.1 alleles per locus and a mean heterozygosity across all eight loci of 0.693. The eight primer pairs utilized in this study unambiguously differentiated all but seven pairs of accessions in this collection of 66 M.]domestica Borkh. genotypes. The probability of matching any two genotypes at all eight loci in this study was approximately 1 in 1 billion. The markers detected two misnamed accessions in the collection. Genetic-identity data produced a genetic-relatedness phenogram which was concordant with geographic origins and/or known pedigree information. These SSR markers show great promise as tools for managing Malus ex situ germplasm collections as well as for collection and preservation strategies concerning wild Malus populations in situ.","Hokanson SC, Szewc-McFadden AK, Lamboy WF, McFerson JR",TAG,1998,
10.1023_A_1015677505602,643,Simple sequence repeats for genetic analysis in pear,"The development of highly informative DNA markers, such as simple sequence repeats (SSRs), is essential for breeding to select agronomically important traits and for genetic studies in pear. We developed SSR markers by using two approaches, RAHM (random amplified hybridization microsatellites) and 5' anchored PCR methods. Segregation analysis of the SSRs revealed that amplified fragments were derived from the same loci, using 3 sets of progenies from crosses between pear varieties. Genetic diversity was characterized using 32 varieties, including 10 from Japanese pear (Pyrus pyrifolia), 9 from Chinese pear (P. bretschneideri, P. ussuriensis), 10 from European pear (P. communis) as well as 3 wild relatives (P. calleryana). Diversity of SSR genotypes was observed among species as well as within species and 65 putative alleles were detected. The use of seven SSR markers was sufficient to differentiate between all of the 32 varieties.","Yamamoto T, Kimura T, Sawamura Y, Manabe T, Kotobuki K, Hayashi T, Ban Y, Matsuta N",Euphytica,2002,"""_"" after ""A"" in the DOI is "":"""
10.1007_s00122-002-0966-5,2764,Genetic linkage maps constructed by using an interspecific cross between Japanese and European pears,"Genetic linkage maps of the European pear ( Pyrus communis L.) cultivar 'Bartlett' and the Japanese pear ( Pyrus pyrifolia Nakai) cultivar 'Housui' were constructed based on AFLPs, SSRs from pear, apple and Prunus, isozymes and phenotypic traits by using their F(1) progenies. The map of the female parent Bartlett consisted of 226 loci including 175 AFLPs, 49 SSRs, one isozyme and one S locus on 18 linkage groups over a total length of 949 cM, while that for 'Housui' contained 154 loci including 106 AFLPs, 42 SSRs, two phenotypic traits and the other four markers on 17 linkage groups encompassing a genetic distance of 926 cM. These maps were partially aligned using 20 codominant markers which showed segregating alleles in both parents. Compared with the reports of apple genetic maps, these pear maps were not saturated but were near saturation. Distorted segregation was observed in two and one regions of the genome of Bartlett and Housui, respectively. The position of 14 SSRs originating from apple could be successfully determined in pear maps, which enabled us to compare the two maps. Some SSRs developed from Prunus (peach, cherry) were also mapped. The relationships between pear and the other species belonging to the Rosaceae were discussed based on the position of SSRs.","Yamamoto T, Kimura T, Shoda M, Imai T, Saito T, Sawamura Y, Kotobuki K, Hayashi T, Matsuta N",TAG,2002,
10.1007_s11295-008-0133-5,4569,"Map position and functional allelic diversity of Md-Exp7, a new putative expansin gene associated with fruit softening in apple (Malus x domestica Borkh.) and pear (Pyrus communis)","Fruit ripening can be considered as a complex set of biochemical and physiological changes occurring at the end of the developmental stage. Ripe fruit texture notably affects overall quality and consumer appreciation. Excessive softening limits shelf-life and storability, thereby increasing disease susceptibility and economic loss. Fruit softening is a process due to the depolymerisation of different polysaccharide classes, an event controlled by a synergic and coordinated action of several enzymes among which expansins play a fundamental role. To date, six expansin genes are known to be expressed during apple fruit ontogeny, from full bloom up to fruit ripening. We identified a novel expansin apple homolog (Md-Exp7) sharing high sequence similarity with specific-ripening expansin genes of other crops. A functional marker (Md-Exp7SSR) based on an SSR motif located within the untranslated region of the gene was developed and mapped on Linkage Group 1 of the apple and pear genomes in a region where one major apple QTL for fruit firmness had been previously identified. The allelic composition of 31 apple varieties for the SSR marker was associated with differences in fruit softening.","Costa F, Weg W.E. van de, Stella S, Dondini L, Pratesi D, Musacchi S, Sansavini S",Tree Genetics and Genomes,2008,
10.1007_s11295-007-0124-y,6410,Development of an STS map of an interspecific progeny of Malus,"Simple sequence repeat (SSR) markers developed from Malus, as well as Prunus, Pyrus and Sorbus, and some other sequence-tagged site (STS) loci were analysed in an interspecific F₁ apple progeny from the cross 'Fiesta' x 'Totem' that segregated for several agronomic characters. A linkage map was constructed using 259 STS loci (247 SSRs, four SCARs and eight known-function genes) and five genes for agronomic traits--scab resistance (Vf), mildew resistance (Pl-2), columnar growth habit (Co), red tissues (Rt) and green flesh background colour (Gfc). Ninety SSR loci and three genes (ETR1, Rt and Gfc) were mapped for the first time in apple. The transferability of markers from other Maloideae to Malus was found to be around 44%. The loci are spread across 17 linkage groups, corresponding to the basic chromosome number of Malus and cover 1,208 cM, approximately 85% of the estimated length of the apple genome. Interestingly, we have extended the top of LG15 with eight markers covering 25 cM. The average map density is 4.7 cM per marker; however, marker density varies greatly between linkage groups, from 2.5 in LG14 to 8.9 in LG7, with some areas of the genome still in need of further STS markers for saturation.","Fernández-Fernández F, Evans KM, Clarke JB, Govan CL, James CM, Marič S, Tobutt KR",Tree genetics & genomes,2008,
10.1016_j.scienta.2005.07.009,6694,Identification of RAPD marker linked to fruit skin color in Japanese pear (Pyrus pyrifolia Nakai),"In Japanese pear, fruit skin color is a very important trait for growers because the russet skin protects the fruit against external stress caused by disease, insects, bad weather, and shipping. This report describes the development of a randomly amplified polymorphic DNA (RAPD) marker linked to major genes controlling the fruit skin color in Japanese pear. Two F1 progenies from the cross of ‘Kousui’  ‘Kinchaku’ and ‘Niitaka’  ‘Chikusui’ segregated by fruit skin color were used for bulked segregant analysis. Four kinds of bulked DNAwere constructed and used for the polymerase chain reaction in RAPD analysis. After 200 random primers were screened against four bulks, a band named OPH19425 was selected in cooperation with green bulks. The recombination rate between OPH-19425 and the green skin phenotype was 7.3%. The RAPD marker (OPH-19425) could select green fruit with probability as high as approximately 92%. The marker was apparently useful for the selection of green-skinned individuals in a breeding program. This is the first report on developing a DNA marker closely linked to the fruit phenotype in Japanese pear","Inoue E, Kasumi M, Sakuma F, Anzai H, Amano K, Hara H",Scientia horticulturae,2006,
10.3864_j.issn.0578-1752.2016.12.011,12450,Construction of SSR genetic linkage map and comparison on pears,"【Objective】The genetic linkage map was constructed based on the Simple Sequence Repeat primers of pears and apples that have been published and developed from the transcriptome of pears by our team, which will be the foundation for the important trait mapping of QTL and marker-assisted selection in the future.【Method】A F1 mapping population was built on a cross between a western pear (Red Clapp Favorite) as the female parent, and an oriental pear (Mansoo) as the male parent. The SSR primers which matched the ""CP"" mode in the JoinMap 4.0 software in parents and four individuals by PCR application were selected and then tested in the F1 group. The separation of data was analyzed by JoinMap 4.0 software, and the parent genetic map was constructed respectively. The genetic map of the parents was integrated based on anchor points which were homology marks in the parents’ map on each linkages.【Result】909 pairs of SSR primers from different sources (526 pairs from pears and 283 pairs from apples that have been published, and 100 pairs were developed from the pear transcriptome by our team) was preliminarily screened through a PCR technique. The results showed that amplified fragments and polymorphism of SSR primers from apples were lower, but that the SSR primers from pears and developed through the transcriptome of pears were higher. The parents’ genetic linkage map was constructed based on the 207 pairs of SSR primers which conformed to the drawing. A female genetic map was constructed by 141 markers which was distributed on 17 linkage groups and spanned 757.34 cM in genome with an average distance of 5.37 cM between markers; A male genetic map was constructed by 153 markers which was distributed on 19 linkage groups and spanned 1 149.43 cM in genome with an average distance of 7.51 cM between markers.【Conclusion】The integrated genetic linkage maps of parents were constructed by different sources of SSR molecular markers, which contained 186 SSR markers and finally covered the genome 1 125.33 cM.","Wang, L., Wang, L., Xue, H.B., Li, X.G., Li, J.",Sci. Agric. Sinica,2016,
10.1111_j.1439-0523.2009.01684.x,12613,"Relationships of PpACS1 and PpACS2 genotypes, internal ethylene concentration and fruit softening in European (Pyrus communis) and Japanese (Pyrus pyrifolia) pears during cold air storage","Previous studies have demonstrated that genotypes of PpACS1 and PpACS2 genes are associated with certain levels of ethylene production in Japanese pears (Pyrus pyrifolia Nakai). This study was undertaken to examine further the relationships of PpACS1 and PpACS2 genotypes and internal ethylene concentration (IEC) with fruit firmness/softening in both European (P. communis L.) and Japanese pears (P. pyrifolia Nakai). Our data showed that P. communis L. lacked genotypes ‘AB’/‘Ab’ and ‘aB’, for high and medium IEC respectively, irrespective of high levels of IEC found in the European pear cultivars/selections. PpACS1 and PpACS2 genotypes were related to IEC at 20 days after harvest (DAH) in P. pyrifolia Nakai but IEC did not have any significant relationship with fruit firmness at 50DAH in either P. communis L. or P. pyrifolia Nakai. Harvest firmness was a better predictor of postharvest firmness than IEC across both species and genotypes, explaining 46% of the variation in fruit firmness at 50DAH. We recommend breeding for higher harvest firmness within low ethylene cultivars in order to extend the shelf life/storage potential of Japanese pears.","Oraguzie NC, Whitworth CJ, Brewer L, Hall A, Volz RK, Bassett H, Gardiner SE",Plant Breeding,2010,
10.1007_s11032-017-0689-6,13187,Genetic structure of a QTL hotspot on chromosome 2 in sweet cherry indicates positive selection for favorable haplotypes,"A genomic region of particular interest for sweet cherry (Prunus avium L.) breeding is a quantitative trait locus (QTL) Bhotspot^ on chromosome 2. QTLs for fruit size, firmness, sweetness, and flowering time are reported to map to this region. An understanding of genetic diversity, allele sources, linkage relationships, and historical recombinations is critical to enable the combining of favorable alleles at multiple loci. The objectives of this study were to characterize, visualize, and interpret the genetic structure of this previously identified QTL hotspot within North American sweet cherry breeding germplasm, using a pedigree-based haploblocking approach. Across the 29.4 cM (6.3 Mbp) region defined by single nucleotide polymorphism (SNP) information from the RosBREED cherry 6K SNP array v1, a total of 12 recombination events falling into six inter-marker regions were traced within the pedigree of elite and wild germplasm (n = 55). These recombinations defined five haploblocks containing 5–15 markers and exhibiting 7– 11 haplotypes each. Over the entire QTL hotspot, 30 extended haplotypes were identified for which parental gametes could be determined. When the haploblocks and their haplotypes were used to explore genetic diversity, ancestry, and recombination patterns, and then integrated with previous QTL results for fruit size, the results indicated that favorable alleles at this QTL hotspot are under positive selection in breeding. The genetic framework provided by a haploblock approach and knowledge of haplotype-level diversity sets the stage for assigning breeding utility to these haplotypes.","Cai L, Voorrips R, vandeWeg E, Peace C, Iezzoni A",Molecular Breeding,2017,
10.1007_s11295-008-0171-z,7649,Construction of a dense genetic linkage map for apple rootstocks using SSRs developed from Malus ESTs and Pyrus genomic sequences,"Marker-assisted selection (MAS) offers quick and reliable prediction of the phenotypes of seedlings in large populations and thus opens new approaches for selection to breeders of apple (Malus x domestica Borkh.). The development of framework maps enables the discovery of genetic markers linked to desired traits. Although genetic maps have been reported for apple scion cultivars, none has previously been constructed for apple rootstocks. We report the construction of framework genetic maps in a cross between ‘M.9’ (‘Malling 9’) and ‘R.5’ (‘Robusta 5’) apple rootstocks. The maps comprise 224 simple sequence repeat (SSR) markers, 18 sequence-characterised amplified regions, 14 single nucleotide polymorphisms and 42 random amplified polymorphic DNAs. A new set of 47 polymorphic SSRs was developed from apple EST sequences and used for construction of this rootstock map. All 17 linkage groups have been identified and aligned to existing apple genetic maps. The maps span 1,175.7 cM (‘M.9’) and 1,086.7 cM (‘R.5’). To improve the efficiency of mapping markers to this framework map, we developed a bin mapping set. Applications of these new genetic maps include the elucidation of the genetic basis of the dwarfing effect of the apple rootstock ‘M.9’ and the analysis of disease and insect resistance traits such as fire blight (Erwinia amylovora), apple scab (Venturia inaequalis) and woolly apple aphid (Eriosoma lanigerum). Markers for traits mapped in this population will be of direct use to apple breeders for MAS and for identification of causative genes by map-based cloning.","Celton J-M, Tustin DS, Chagne D, Gardiner SE",Tree Genetics and Genomes,2009,
